State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
139,,r18,,r18,,,r18,r18,r18,r18,r18,,,,r18,,,r18,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,
140,,r39,,r39,,,r39,r39,r39,r39,r39,,,,r39,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,
141,,r31,,r31,,,s95,r31,r31,s96,r31,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,
142,,r26,,r26,,,,s199,s200,,r26,,,,r26,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,
143,,r32,,r32,,,s95,r32,r32,s96,r32,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,
144,,r29,,r29,,,,s199,s200,,r29,,,,r29,,,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,
145,,r28,,r28,,,,s199,s200,,r28,,,,r28,,,,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,
146,,r34,,r34,,,r34,r34,r34,r34,r34,r34,r34,,r34,r34,r34,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,
147,,r35,,r35,,,r35,r35,r35,r35,r35,r35,r35,,r35,r35,r35,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,
148,,s99,,r21,,,,,,,r21,,,,s98,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,
149,,r23,,r23,,,,,,,r23,,,,r23,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,
150,,r24,,r24,,,,,,,r24,,,,r24,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,
153,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,201,,,79,74,78,77,63,,,72,,,75,,69
154,,,,,,,,,,,,,,,,,,,,,s26,s29,,,s12,s31,,,,s30,s28,,,27,,,,,,,,25,,,,202,,,,
155,,,,,,,,,,,,,,,,,,,,,s204,s207,,,s12,s209,,,,s208,s206,,,205,,,,,,,,203,,,,210,,,,
156,,,,,,s211,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,s212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
